ds,forecast,item
2025-01-11,789.535037184095,Брусника листья 50г
2025-01-12,789.5353362747336,Брусника листья 50г
2025-01-13,789.53526882204,Брусника листья 50г
2025-01-14,789.5352249587185,Брусника листья 50г
2025-01-15,789.5352682238129,Брусника листья 50г
2025-01-16,789.5352558038009,Брусника листья 50г
2025-01-17,789.5352509628835,Брусника листья 50г
2025-01-18,789.5352571014085,Брусника листья 50г
2025-01-19,789.5352549603539,Брусника листья 50г
2025-01-20,789.535254487553,Брусника листья 50г
2025-01-21,789.5352553414206,Брусника листья 50г
2025-01-22,789.5352549886323,Брусника листья 50г
2025-01-23,789.5352549539181,Брусника листья 50г
2025-01-24,789.5352550702135,Брусника листья 50г
2025-01-25,789.5352550140301,Брусника листья 50г
2025-01-26,789.5352550138972,Брусника листья 50г
2025-01-27,789.5352550293699,Брусника листья 50г
2025-01-28,789.5352550206655,Брусника листья 50г
2025-01-29,789.5352550213423,Брусника листья 50г
2025-01-30,789.5352550233455,Брусника листья 50г
2025-01-31,789.5352550220284,Брусника листья 50г
2024-12-21,75.36432364372646,Алтей корни 75г
2024-12-22,79.98075016924889,Алтей корни 75г
2024-12-23,80.97145572577601,Алтей корни 75г
2024-12-24,80.4305907364348,Алтей корни 75г
2024-12-25,74.70337825553177,Алтей корни 75г
2024-12-26,80.04690607641878,Алтей корни 75г
2024-12-27,85.42946077111452,Алтей корни 75г
2024-12-28,62.846295546716846,Алтей корни 75г
2024-12-29,85.52030633320834,Алтей корни 75г
2024-12-30,80.79676262794794,Алтей корни 75г
2024-12-31,82.64044728777104,Алтей корни 75г
2025-01-01,80.90329143715815,Алтей корни 75г
2025-01-02,81.41574540310542,Алтей корни 75г
2025-01-03,77.06342943819884,Алтей корни 75г
2025-01-04,81.05789995454738,Алтей корни 75г
2025-01-05,77.14023498364013,Алтей корни 75г
2025-01-06,81.08423718014743,Алтей корни 75г
2025-01-07,77.23822662194279,Алтей корни 75г
2025-01-08,80.7905986199388,Алтей корни 75г
2025-01-09,77.65356335353826,Алтей корни 75г
