ds,forecast,item
2024-12-31,1689.1570044290827,"Фп Золототысячник трава 20х1,5г"
2025-01-31,1670.7543904271274,"Фп Золототысячник трава 20х1,5г"
2024-12-31,5710.74242348662,"Фп Кровохлебка корневища и корни 20x1,5г"
2025-01-31,5702.192758321362,"Фп Кровохлебка корневища и корни 20x1,5г"
2024-12-31,32577.3128876527,"Фп Крапива листья 20x1,5г"
2025-01-31,32132.67481359388,"Фп Крапива листья 20x1,5г"
2024-12-31,9506.310469368364,"Фп Крушина кора 20x1,5г"
2025-01-31,9855.556971761349,"Фп Крушина кора 20x1,5г"
2024-12-31,2760.2073770857496,"Фп Лапчатка корневища 20x2,5г"
2025-01-31,2766.0865727477562,"Фп Лапчатка корневища 20x2,5г"
2024-12-31,22928.163134310103,"Фп Липа цветки 20x1,5г"
2025-01-31,21745.00528317648,"Фп Липа цветки 20x1,5г"
2024-12-31,20032.628200202264,"Фп Мелисса лекарственная трава 20x1,5г"
2025-01-31,18802.229126920938,"Фп Мелисса лекарственная трава 20x1,5г"
2024-12-31,37537.312509719355,"Фп Ноготки цветки 20x1,5г"
2025-01-31,34313.506498244584,"Фп Ноготки цветки 20x1,5г"
2024-12-31,27006.1097966173,"Фп Мята перечная листья 20x1,5г"
2025-01-31,26301.082811725057,"Фп Мята перечная листья 20x1,5г"
2024-12-31,3457.176750200026,"Фп Пижма цветки 20х1,5г"
2025-01-31,3540.63664998025,"Фп Пижма цветки 20х1,5г"
2024-12-31,3709.4573113317156,"Фп Пастушья сумка трава 20х1,5г"
2025-01-31,3541.2665209651973,"Фп Пастушья сумка трава 20х1,5г"
2024-12-31,1276.6665131881005,"Фп Ольха соплодия 20х1,5г"
2025-01-31,1293.2410407593777,"Фп Ольха соплодия 20х1,5г"
2024-12-31,16879.43633861164,"Фп Пустырник трава 20x1,5г"
2025-01-31,18007.69237154808,"Фп Пустырник трава 20x1,5г"
2024-12-31,15157.174388524454,"Фп Подорожник листья 20x1,5г"
2025-01-31,13247.561891165298,"Фп Подорожник листья 20x1,5г"
2024-12-31,48801.342788073096,"Фп Почечный чай листья 20x1,5г"
2025-01-31,47084.15265725408,"Фп Почечный чай листья 20x1,5г"
